ID_PAIS,NOMBRE
1,AFGANISTAN
2,ALBANIA
3,ALEMANIA
4,ANDORRA
5,ANGOLA
6,ANTIGUA Y BARBUDA
7,ARABIA SAUDI
8,ARGELIA
9,ARGENTINA
10,ARMENIA
11,AUSTRALIA
12,AUSTRIA
13,AZERBAIYAN
14,BAHAMAS
15,BAHREIN
16,BANGLADESH
17,BARBADOS
18,BELARUS
19,BELGICA
20,BELICE
21,BENIN
22,BHUTAN
23,BOLIVIA
24,BOSNIA-HERZEGOVINA
25,BOTSWANA
26,BRASIL
27,BRUNEI
28,BULGARIA
29,BURKINA FASO
30,BURUNDI
31,CABO VERDE
32,CAMBOYA
33,CAMERUN
34,CANADA
35,CHAD
36,CHILE
37,CHINA
38,CHIPRE
39,COLOMBIA
40,COMORES
41,CONGO
42,CONGO REPUBLICA DEMOCRATICA
43,COREA DEL NORTE
44,COREA DEL SUR
45,COSTA DE MARFIL
46,COSTA RICA
47,CROACIA
48,CUBA
49,DINAMARCA
50,DJIBOUTI
51,DOMINICA
52,ECUADOR
53,EGIPTO
54,EL SALVADOR
55,EMIRATOS ARABES UNIDOS
56,ERITREA
57,ESLOVAQUIA
58,ESLOVENIA
59,ESPANA
60,ESTONIA
61,ETIOPIA
62,FIJI
63,FILIPINAS
64,FINLANDIA
65,FRANCIA
66,GABON
67,GAMBIA
68,GEORGIA
69,GHANA
70,GRANADA
71,GRECIA
72,GUATEMALA
73,GUINEA
74,GUINEA ECUATORIAL
75,GUINEA-BISSAU
76,GUYANA
77,HAITI
78,HONDURAS
79,HUNGRIA
80,INDIA
81,INDONESIA
82,IRAN
83,IRAQ
84,IRLANDA
85,ISLANDIA
86,ISLAS MARSHALL
87,ISLAS SALOMON
88,ISRAEL
89,ITALIA
90,JAMAICA
91,JAPON
92,JORDANIA
93,KAZAJSTAN
94,KENIA
95,KIRGUISTAN
96,KIRIBATI
97,KUWAIT
98,LAOS
99,LESOTHO
100,LETONIA
101,LIBANO
102,LIBERIA
103,LIBIA
104,LIECHTENSTEIN
105,LITUANIA
106,LUXEMBURGO
107,MACEDONIA DEL NORTE
108,MADAGASCAR
109,MALASIA
110,MALAWI
111,MALDIVAS
112,MALI
113,MALTA
114,MARRUECOS
115,MAURICIO
116,MAURITANIA
117,MEXICO
118,MICRONESIA
119,MOLDAVIA
120,MONACO
121,MONGOLIA
122,MONTENEGRO
123,MOZAMBIQUE
124,MYANMAR
125,NAMIBIA
126,NAURU
127,NEPAL
128,NICARAGUA
129,NIGER
130,NIGERIA
131,NORUEGA
132,NUEVA ZELANDA
133,OMAN
134,PAISES BAJOS
135,PALAU
136,PANAMA
137,PAPUA NUEVA GUINEA
138,PARAGUAY
139,PERU
140,POLONIA
141,PORTUGAL
142,QATAR
143,REINO UNIDO
144,REPUBLICA CENTROAFRICANA
145,REPUBLICA CHECA
146,REPUBLICA DOMINICANA
147,RUANDA
148,RUMANIA
149,RUSIA
150,SAMOA
151,SAN CRISTOBAL Y NIEVES
152,SAN MARINO
153,SAN VICENTE Y GRANADINAS
154,SANTA LUCIA
155,SANTO TOME Y PRINCIPE
156,SENEGAL
157,SERBIA
158,SEYCHELLES
159,SIERRA LEONA
160,SINGAPUR
161,SOMALIA
162,SRI LANKA
163,SUDAFRICA
164,SUDAN
165,SUDAN DEL SUR
166,SUECIA
167,SUIZA
168,SURINAME
169,SWAZILANDIA
170,TAILANDIA
171,TANZANIA
172,TAYIKISTAN
173,TIMOR ORIENTAL
174,TOGO
175,TONGA
176,TRINIDAD Y TOBAGO
177,TUNEZ
178,TURKMENISTAN
179,TURQUIA
180,TUVALU
181,UCRANIA
182,UGANDA
183,URUGUAY
184,UZBEKISTAN
185,VANUATU
186,VENEZUELA
187,VIETNAM
188,YEMEN
189,ZAMBIA
190,ZIMBABWE
